3,1
5,0
10,0
6,0
87,0
9,0
3,0
3,1
4,1
4,1
5,0
5,0
4,0
8,0
13,0
5,1
9,1
9,0
3,1
6,1
7,0
6,0
4,0
5,0
14,0
10,0
2,0
3,0
4,0
5,0
24,0
6,0
27,0
7,0
7,1
10,0
13,0
7,1
3,1
5,0
3,0
8,1
5,0
23,0
13,0
2,1
3,0
4,1
11,0
10,0
10,0
3,1
6,0
8,0
3,0
4,1
3,0
6,0
3,0
6,1
4,0
7,1
20,0
2,0
6,0
10,0
2,0
5,0
29,0
2,0
33,0
3,0
5,0
21,0
5,0
3,0
4,0
14,0
15,0
16,1
3,1
8,0
12,1
11,0
8,0
20,0
3,0
22,0
6,1
4,0
7,0
4,0
7,0
5,1
10,0
9,1
5,1
4,1
40,0
7,0
2,1
11,0
3,0
3,1
2,0
7,0
6,1
31,0
5,1
5,0
5,0
17,0
6,0
11,0
6,1
9,1
5,0
5,0
3,0
6,0
8,1
11,0
4,0
7,0
8,0
9,0
7,0
4,1
3,1
31,0
6,0
5,0
2,0
8,1
23,1
7,0
2,1
23,0
6,0
6,0
4,0
3,1
7,0
2,0
5,1
6,0
4,0
9,0
3,0
6,1
8,0
4,0
12,0
5,0
6,0
18,0
2,0
7,0
4,0
6,0
12,1
6,0
5,1
5,0
13,0
3,0
4,1
6,1
7,0
3,1
5,1
7,0
24,0
15,0
31,0
6,0
4,0
4,0
29,0
4,0
17,0
3,0
17,0
18,0
4,0
4,0
6,0
3,0
14,0
41,0
4,0
13,0
3,1
16,0
2,0
8,1
15,0
4,0
6,0
10,0
5,1
8,0
9,1
5,0
11,1
4,0
3,0
7,0
14,1
8,0
7,1
8,0
3,1
11,0
3,1
3,1
3,0
2,1
11,1
4,0
4,0
12,0
6,0
9,0
17,0
7,0
5,1
3,0
6,0
5,0
5,1
5,0
14,0
14,0
4,1
9,0
3,0
5,0
4,0
12,0
27,0
11,1
4,0
2,0
4,0
25,0
6,0
7,0
10,1
8,0
3,0
2,1
6,0
11,0
4,0
5,0
4,0
5,0
5,0
64,0
8,0
14,0
3,0
2,0
5,0
3,0
3,0
10,0
5,0
7,0
15,0
2,0
39,0
4,1
4,0
4,0
6,0
7,1
61,0
7,0
4,0
3,0
4,0
7,0
5,1
2,1
3,0
8,0
3,0
3,1
4,0
4,0
12,0
5,1
4,1
4,0
9,0
7,0
4,0
17,0
21,0
4,1
6,0
3,1
2,0
3,1
4,0
11,1
12,0
6,0
4,0
9,0
4,0
6,0
7,0
2,1
3,0
10,1
5,0
6,0
3,1
26,0
20,1
50,1
10,0
5,0
14,0
6,1
12,0
9,1
16,1
7,0
9,0
11,0
5,1
16,1
9,0
21,0
4,0
45,0
93,0
4,0
8,0
9,0
6,0
6,0
6,0
7,1
6,0
5,0
8,1
8,0
5,1
9,1
16,1
18,0
3,0
13,0
5,1
9,0
3,1
10,0
3,0
4,0
7,0
11,0
2,1
5,0
13,0
2,1
7,0
4,0
17,0
9,1
14,1
6,1
56,0
6,0
4,1
6,0
4,0
2,1
7,0
5,0
4,0
6,0
6,0
3,0
18,0
5,1
7,0
5,0
3,1
9,1
12,1
15,0
8,0
6,1
5,0
20,0
7,0
27,0
4,0
7,1
3,1
6,0
3,1
10,0
15,1
4,0
30,1
5,0
4,0
3,0
4,0
2,1
5,0
13,0
5,1
3,0
4,0
40,0
4,0
4,0
4,0
6,0
3,1
7,0
5,1
7,0
8,0
3,0
6,0
6,0
22,0
3,1
5,1
6,0
6,0
5,0
15,0
32,0
4,1
4,1
21,0
5,1
4,0
14,0
3,0
